Gene	Num
TP53	258
TTN	242
MUC16	224
CSMD3	207
RYR2	198
LRP1B	179
ZFHX4	171
USH2A	164
KRAS	149
XIRP2	134
FLG	129
SPTA1	119
NAV3	112
ZNF536	109
COL11A1	107
ANK2	105
FAT3	105
PCLO	103
CSMD1	101
APOB	100
PCDH15	99
KEAP1	95
ADAMTS12	94
MUC17	94
TNR	94
RP1L1	90
PAPPA2	90
DNAH9	88
ADGRG4	88
RYR3	87
CDH10	86
NPAP1	85
PTPRD	84
PCDH11X	84
RYR1	84
FAT4	83
HMCN1	82
ERICH3	81
ZNF804A	81
SI	79
RIMS2	79
DMD	78
NRXN1	78
FBN2	77
PXDNL	76
VCAN	76
CACNA1E	76
MXRA5	75
NALCN	75
LRRC7	74
FAM135B	74
ABCA13	74
EGFR	74
FLG2	74
RELN	73
ASTN1	72
CSMD2	72
PEG3	71
DST	70
CNTNAP5	70
AHNAK2	70
OBSCN	69
ASXL3	69
PKHD1L1	69
TSHZ3	68
ASPM	67
SYNE1	67
CNTNAP2	67
STK11	66
HERC2	66
TNN	66
SORCS1	66
PKHD1	65
LRP2	64
ZNF831	63
BRINP3	63
PCDH10	63
SYNE2	63
PRUNE2	62
MYH2	62
CPS1	61
MRC1	61
DNAH5	61
LAMA2	61
CDH12	61
EPHA5	61
COL6A3	61
AHNAK	61
UNC79	60
NLRP3	60
TLR4	60
ADGRB3	60
ADGRL3	60
MYH8	60
PRDM9	60
COL12A1	59
HRNR	59
NCKAP5	59
TENM1	59
ANKRD30A	58
DNAH8	58
FMN2	58
MYH1	58
SETBP1	57
TG	57
SNTG1	57
CTNND2	57
FAM47C	57
SVEP1	57
PLPPR4	56
ADAMTS20	56
CUBN	56
AFF2	56
SLITRK2	56
NEB	56
ASTN2	55
DCDC1	55
LAMA1	55
CTNNA2	55
DOCK2	54
COL3A1	54
PCDH17	54
DNAH7	54
TAF1L	53
ZFPM2	53
CRB1	53
ZNF521	53
SPHKAP	53
FAM47A	52
SLC8A1	52
KCNT2	52
HCN1	52
CDH9	52
GRIN2B	52
DNAH3	52
KIAA1109	52
TIAM1	52
FAT1	51
SPATA31D1	51
PTPRT	51
HYDIN	51
TEX15	51
CDH18	51
PKD1L1	51
TENM2	51
TRPS1	50
MAGEC1	50
MROH2B	50
KIF2B	50
PLEC	50
HECW1	50
LTBP1	50
COL22A1	50
MYH7	49
DNAH11	49
KMT2C	49
ZNF804B	49
ZAN	49
ZNF208	48
ZP4	48
SLITRK1	48
ROBO2	48
FAM47B	48
LRRIQ1	48
GPR158	48
MYO18B	48
COL5A2	48
COL19A1	48
PTPRZ1	48
CNTNAP4	47
GRIN2A	47
TENM3	47
LYST	47
DCAF4L2	47
LRFN5	47
EPHA6	47
THSD7B	47
ITGA8	46
MYH4	46
SPEF2	46
DSCAM	46
NF1	46
THSD7A	46
OTOGL	46
KCNB2	45
ADGRV1	45
TPTE	45
LRRTM4	45
EPHA3	45
MMP16	45
F8	45
ABCB5	45
NOTCH4	45
PLXNA4	45
SPEG	45
FLNC	45
SLC39A12	44
GRID2	44
UNC13C	44
COL14A1	44
PPP1R3A	44
CDH8	44
SLIT2	44
TRPA1	44
LPA	44
BIRC6	44
GRM8	44
PTPRB	43
ADAMTS16	43
FSTL5	43
MUC5B	43
HGF	43
LRRC4C	43
MACF1	43
SCN10A	43
SCN3A	43
NLGN4X	43
CRACD	43
SPATA31A1	43
MGAM	43
MMRN1	43
NELL1	42
SLITRK3	42
ANK1	42
ATRNL1	42
KLHL1	42
SLITRK4	42
CHL1	42
POM121L12	42
HUWE1	42
SALL1	42
STYXL2	42
WDFY3	42
ITGAX	42
CDH7	42
RP1	42
SORCS3	41
NTRK3	41
FCGBP	41
CACNA2D1	41
MYH6	41
NRXN3	41
LCT	41
ADAMTSL3	41
ZNF423	41
GRM5	41
TMPRSS15	41
EYS	41
KDR	41
MAP2	41
LAMB4	41
HEPH	41
SACS	41
BOD1L1	41
FER1L6	41
GRM1	41
ADGRL2	40
NLRP14	40
SEMA5A	40
OVCH1	40
KALRN	40
FAT2	40
CFAP47	39
PLCB1	39
MYH13	39
TMTC1	39
NLRP5	39
TRRAP	39
UBR4	39
ABCB1	39
L1CAM	39
CNTN5	39
TRPC4	39
