id	PHKA1	NT5E	KIF20A	ARRB1	PDGFB	LGR4	LIFR	riskScore	Responser
Dis_01	2088	149	1631	401	304	210	935	789.2051301	low
Dis_11	2417	169	803	606	121	1058	244	928.1335392	low
Dis_12	919	650	962	412	112	1403	565	638.0111206	low
Dis_16	3546	5134	737	932	222	905	1625	1462.449778	low
Dis_03	1295	201	2493	228	64	774	637	896.1991842	low
Dis_07	888	242	485	1402	83	230	823	-46.43103766	low
Dis_18	1572	4642	641	438	433	1162	336	1311.038956	low
Dis_09	1866	1011	493	416	134	667	278	769.5232157	low
Dis_05	1286	485	156	1100	297	529	2684	-162.6158975	low
Dis_06	2688	348	819	410	108	898	251	1038.615064	low
Dis_08	2863	919	457	635	115	1976	2336	821.4480312	low
Dis_02	1755	1163	641	792	69	595	194	683.0304319	low
Dis_15	1561	434	533	1343	129	167	1655	21.68584064	high
Dis_04	688	2036	135	1722	221	77	208	94.66114673	high
Dis_17	1507	866	233	1473	176	1127	1940	112.975942	high
Dis_10	176	555	171	814	138	65	1380	-270.8846188	high
